abase,lower; degrade; humiliate; make humble; make  lose self-respect
abash,embarrass
abate,subside or moderate
abbreviate,shorten
abdicate,renounce; give up
aberrant,abnormal or deviant
aberration,deviation from the normal; mental disorder
abet,assist usually in doing something wrong; encourage
abeyance,suspended action
abhor,detest; hate
abject,wretched; as low as possible; lacking pride; very humble; showing lack of self-respect; Ex. abject apology
abjure,renounce upon oath
ablution,washing
abnegation,renunciation; self-sacrifice; self-abnegation
abolish,cancel; put an end to
abominable,detestable; extremely unpleasant
abominate,loathe; hate
aboriginal,being the first of its kind in a region; primitive; native; indigenous; N. aborigine
abortive,unsuccessful; fruitless
abrasive,rubbing away; tending to grind down
abridge,condense or shorten
abrogate,abolish
abscission,cutting off; separation
abscond,depart secretly and hide
absolute,complete; totally unlimited; having complete power; certain; not relative; Ex. absolute honesty/ruler; CF. absolutism
absolve,pardon
abstain,refrain; withhold from participation; intentionally not use one's vote;
abstemious,sparing in eating and drinking; temperate
abstinence,restraint from pleasant things, esp. eating or drinking; CF. abstention: act of abstaining from vote
abstract,theoretical; not concrete; nonrepresentational
abstruse,obscure; profound; difficult to understand
abusive,coarsely insulting; physically harmful
abut,border upon; adjoin
abysmal,bottomless
abyss,enormous chasm; vast bottomless pit
academic,related to a school; not practical or directly useful
accede,agree
accelerate,move faster
accessible,easy to approach; obtainable
accessory,additional object; useful but not essential thing
acclaim,applaud; praise; greet with great approval; announce with great approval; Ex. The new drug has been acclaimed as the most important discoveries for years; N: strong expression of approval and praise
acclimate,adjust to climate or environment; adapt
acclivity,sharp up slope of a hill; OP. declivity
accolade,award of merit; strong praise and approval
accommodate,oblige or help someone; adjust or bring into harmony; adapt; make enough space for; ADJ. accommodative; CF. accomodating: helpful and obliging
accomplice,partner in crime
accord,agreement
accost,approach and speak first to a person
accoutre,equip; N. accoutrement
accretion,growth or increase in size by gradual addition; growth; increase; increase by natural growth; Ex. towers and other accretions of the castle; V. accrete
accrue,come to one as a gain; accumulate over time; come about by addition; Ex. benefits that accrue from scientific research; Ex. interest accruing in a bank account; N. accrual
acerbity,bitterness of speech and temper; ADJ. acerbic: bitter; acrid
acetic,vinegary
acidulous,slightly sour ; sharp; caustic
acknowledge,recognize; admit
acme,peak; pinnacle; highest point
acoustics,science of sound; quality that makes a room easy or hard to hear in
acquiesce,assent; agree passively; comply without protest
acquittal,deliverance from a charge; V. acquit: free from a charge or accusation; discharge from a duty; conduct  in a specified manner
acrid,bitter ; sharp; bitterly pungent
acrimonious,stinging; caustic; bitter in words or manner; N. acrimony: bitter ill-natured animosity in speech or behavior
acrophobia,fear of heights
actuarial,calculating; pertaining to insurance statistics
actuary,someone who advises insurance companies
actuate,motivate; activate; cause to act
acuity,sharpness
acumen,mental keenness; sharpness of judgment; ability to judge quickly and well; Ex. business acumen
acute,sharp; quickly perceptive; keen; penetrating; brief and severe; Ex. acute sense of smell/analysis/pain
adage,wise saying; proverb
adamant,hard; inflexible
adapt,make or become suitable for a specific use; alter; modify; adjust; N. adaptation: act of adapting; composition recast into a new form; Ex. The play is an adaption of a short novel.
addendum,addition; appendix to book; something that is added
addiction,compulsive habitual need
addle,make or become confused; muddle; drive crazy; become rotten
address,direct a speech to; speak to; deal with or discuss; direct one's efforts or attention to; make with a destination; N: formal speech
adept,expert at; very skilled
adhere,stick fast; be a devoted follower; N. adhesion: adhering; devotion; loyalty
adherent,supporter; follower
adjacent,adjoining; neighboring; close by
adjunct,something attached to but holding an inferior position
adjuration,solemn urging; V. adjure: entreat earnestly; enjoin solemnly
adjutant,staff officer assisting the commander; assistant
admonish,warn or speak to with gentle disapproval; reprove
adorn,decorate
adroit,skillful
adulation,flattery; admiration that is more than is necessary or deserved
adulterate,make impure or of poorer quality by adding inferior or tainted substances
advent,arrival
adventitious,accidental; casual; happening by chance
adversary,opponent; enemy
adverse,going against; opposing; unfavorable; hostile
adversity,great hardship or affliction; misfortune; calamitous event
advert,refer
advocacy,support; active pleading on behalf of someone or something
advocate,speak in favor of; support ; urge; plead for
aegis,shield; protection; defense
aerie,nest of a large bird of prey
aesthetic,artistic; dealing with or capable of appreciating the beautiful ; CF. aesthete; CF. aesthetics
affable,easily approachable; easy to talk to; warmly friendly
affected,artificial; pretended
affidavit,written statement made under oath
affiliation,joining; associating with
affinity,feeling of kinship; similarity; Ex. strong affinity for her; Ex. many affinities between two languages
affirmation,positive assertion; confirmation; solemn pledge by one who refuses to take an oath; V. affirm; ADJ. affirmative; CF. affirmative action: positive discrimination
affliction,state of distress; trial; cause of distress or suffering; V. afflict: inflict grievous suffering on
affluence,abundance; wealth
affront,insult; offense; intentional act of disrespect; V: insult or hurt the feelings of intentionally
agape,open mouthed
agenda,items of business at a meeting
agglomeration,collection; heap; V. agglomerate: gather into a rounded mass; N. agglomerate: jumbled mass; heap
aggrandize,make greater; increase in power, wealth, rank, or honor; N. aggrandizement
aggregate,sum; total; ADJ. V: gather into a mass or whole; accumulate; add up to; Ex. aggregate 100 dollars
aghast,filled with great surprise or fear; horrified
agility,nimbleness; ability to move quickly
agitate,stir up; disturb
agnostic,one who is skeptical of the existence or knowability of a god or any ultimate reality
agog,highly excited; intensely curious
agrarian,pertaining to land or its cultivation; Ex. agrarian reform
alacrity,cheerful promptness without reluctance
alchemy,medieval chemistry
alcove,nook; recess
alias,an assumed name esp. by a criminal ; ADV. alias
alienate,make unfriendly or hostile; estrange; separate; change the ownership of
alimentary,supplying nourishment
alimony,payments made regularly to an ex-spouse after divorce
allay,calm; pacify
allege,state without proof
allegiance,loyalty
allegory,story, play, or picture in which characters are used as symbols; fable
alleviate,relieve
alliteration,repetition of beginning sound in poetry
allocate,assign; set apart for a particular purpose
alloy,mixture as of metals; something added that lowers in value or purity; V: mix; make less pure; lower in value or quality; spoil; CF. unalloyed: not in mixture with other metals; pure; complete; unqualified; Ex. unalloyed happiness
allude,refer indirectly; N. allusion: indirect reference
allure,entice; attract; tempt
alluvial,pertaining to soil deposits left by running water
aloft,upward; high up in the air
aloof,apart; not open in one's relationship with other people; reserved; ADV.
altercation,noisy quarrel
